Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-15T22:00:00Z,13999.75,14002.5,13993.5,13996.25,64,13998.65,40
MNQ,2021-04-15T22:00:05Z,13996,13997,13993.5,13995.25,38,13995.325,24
MNQ,2021-04-15T22:00:10Z,13994.25,13995.75,13993.75,13994,28,13994.675,17
MNQ,2021-04-15T22:00:15Z,13993.75,13995.75,13993,13993,37,13994.25,22
MNQ,2021-04-15T22:00:20Z,13994.5,13994.5,13991.25,13992,18,13992.075,14
MNQ,2021-04-15T22:00:25Z,13992.25,13992.75,13991,13991.25,21,13991.625,16
MNQ,2021-04-15T22:00:30Z,13991.5,13994,13991.25,13993,36,13992.95,21
MNQ,2021-04-15T22:00:35Z,13992,13993,13990,13990.5,35,13991.2,23
MNQ,2021-04-15T22:00:40Z,13991,13992,13990.75,13991.5,23,13991.35,10
MNQ,2021-04-15T22:00:45Z,13991.25,13992,13989.75,13992,54,13990.575,23
MNQ,2021-04-15T22:00:50Z,13991.75,13991.75,13990,13990,12,13991.1,8
MNQ,2021-04-15T22:00:55Z,13991,13991,13989.25,13989.75,16,13989.85,12
MNQ,2021-04-15T22:01:00Z,13990,13992.25,13990,13992.25,31,13990.85,20
MNQ,2021-04-15T22:01:05Z,13991.75,13991.75,13989.75,13989.75,58,13990.5,29
MNQ,2021-04-15T22:01:10Z,13990,13993.5,13989.75,13993.5,69,13992.225,35
MNQ,2021-04-15T22:01:15Z,13993.5,13994,13991.75,13993.25,28,13992.875,21
MNQ,2021-04-15T22:01:20Z,13993.5,13994,13993,13993,11,13993.5,6
MNQ,2021-04-15T22:01:25Z,13993,13993,13992.75,13992.75,4,13992.95,3
MNQ,2021-04-15T22:01:30Z,13993,13994,13993,13993.75,29,13993.475,17
MNQ,2021-04-15T22:01:35Z,13993.75,13994.25,13993.5,13993.75,8,13993.95,6
MNQ,2021-04-15T22:01:40Z,13993.5,13994,13993.25,13993.25,7,13993.475,4
MNQ,2021-04-15T22:01:45Z,13993.25,13994,13993.25,13994,3,13993.675,3
MNQ,2021-04-15T22:01:50Z,13993.5,13993.5,13993.5,13993.5,1,13993.5,1
MNQ,2021-04-15T22:01:55Z,13994,13994.75,13994,13994,12,13994.375,7
MNQ,2021-04-15T22:02:00Z,13994.75,13995,13994.5,13994.75,6,13994.75,5
MNQ,2021-04-15T22:02:05Z,13995,13995.25,13994.5,13994.5,14,13994.75,6
MNQ,2021-04-15T22:02:10Z,13995.25,13995.25,13994.75,13994.75,2,13995,2
MNQ,2021-04-15T22:02:15Z,13995,13996.5,13994.75,13996.5,13,13995.225,10
MNQ,2021-04-15T22:02:20Z,13996.25,13996.5,13996,13996,4,13996.2,4
MNQ,2021-04-15T22:02:25Z,13996.75,13996.75,13995.75,13995.75,12,13996.075,5
MNQ,2021-04-15T22:02:30Z,13996,13997.5,13996,13997.25,16,13996.825,7
MNQ,2021-04-15T22:02:35Z,13997.5,13998.5,13997.5,13998.25,12,13998.1,6
MNQ,2021-04-15T22:02:40Z,13998.75,13998.75,13998,13998.5,17,13998.425,11
MNQ,2021-04-15T22:02:45Z,13998,13998.5,13997.75,13998.25,22,13998.05,13
MNQ,2021-04-15T22:02:50Z,13997.75,13998.25,13997.75,13998.25,14,13998.05,6
MNQ,2021-04-15T22:02:55Z,13998.5,13998.75,13998,13998.25,29,13998.35,18
MNQ,2021-04-15T22:03:00Z,13998.25,13998.75,13998.25,13998.75,10,13998.525,6
