Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-01T22:00:00Z,13333,13333,13323,13329,58,13329.8,41
MNQ,2021-04-01T22:00:05Z,13331.25,13333.25,13331,13332,20,13331.875,15
MNQ,2021-04-01T22:00:10Z,13331.25,13333.25,13330.5,13330.5,30,13331.575,23
MNQ,2021-04-01T22:00:15Z,13330.75,13332.75,13330.75,13332.75,6,13331.875,5
MNQ,2021-04-01T22:00:20Z,13332.5,13332.5,13330.75,13330.75,10,13331.725,9
MNQ,2021-04-01T22:00:25Z,13330.75,13332,13330.5,13331.75,11,13330.925,9
MNQ,2021-04-01T22:00:30Z,13332.25,13332.25,13330.75,13330.75,4,13331.45,4
MNQ,2021-04-01T22:00:35Z,13330,13331.25,13328,13328,30,13329.625,14
MNQ,2021-04-01T22:00:40Z,13329,13329.75,13328.5,13328.5,11,13329.325,8
MNQ,2021-04-01T22:00:45Z,13328.5,13329.5,13328.5,13329.5,6,13328.925,5
MNQ,2021-04-01T22:00:50Z,13329.75,13329.75,13328.75,13329,12,13329.05,6
MNQ,2021-04-01T22:00:55Z,13330,13330.25,13329,13330.25,5,13329.85,4
MNQ,2021-04-01T22:01:00Z,13330.25,13333.25,13330.25,13330.5,56,13332.225,26
MNQ,2021-04-01T22:01:05Z,13330.5,13331.75,13330.25,13330.25,25,13331.025,22
MNQ,2021-04-01T22:01:10Z,13330.5,13330.5,13328,13328,16,13329.15,13
MNQ,2021-04-01T22:01:15Z,13329,13329,13327.5,13328.5,20,13328.35,12
MNQ,2021-04-01T22:01:20Z,13329,13329,13326.75,13327,20,13327.6,14
MNQ,2021-04-01T22:01:25Z,13327.75,13327.75,13326.75,13327,19,13327.15,19
MNQ,2021-04-01T22:01:30Z,13326.75,13328.25,13325,13327.25,26,13326.575,20
MNQ,2021-04-01T22:01:35Z,13327,13327.5,13326,13326,6,13326.825,6
MNQ,2021-04-01T22:01:40Z,13327,13328.25,13326.25,13327,27,13327.175,17
MNQ,2021-04-01T22:01:45Z,13327.25,13327.25,13326.5,13326.5,10,13326.85,10
MNQ,2021-04-01T22:01:50Z,13326.75,13327.25,13326,13326.5,13,13326.85,8
MNQ,2021-04-01T22:01:55Z,13326.75,13327.5,13326.25,13327,16,13326.875,15
MNQ,2021-04-01T22:02:00Z,13327,13329.25,13327,13327,38,13328,20
MNQ,2021-04-01T22:02:05Z,13326.25,13327,13326.25,13327,2,13326.625,2
MNQ,2021-04-01T22:02:10Z,13327.5,13328,13327.5,13327.5,9,13327.75,6
MNQ,2021-04-01T22:02:15Z,13328.25,13329.75,13328.25,13329.75,9,13328.775,7
MNQ,2021-04-01T22:02:20Z,13329.25,13330,13329.25,13330,11,13329.775,10
MNQ,2021-04-01T22:02:25Z,13330.5,13330.75,13330.5,13330.75,4,13330.625,2
MNQ,2021-04-01T22:02:30Z,13330.25,13331.75,13330.25,13331.75,8,13330.95,6
MNQ,2021-04-01T22:02:35Z,13331.25,13331.25,13330.75,13330.75,11,13331.15,6
MNQ,2021-04-01T22:02:40Z,13330.75,13331.25,13330.75,13331.25,3,13331.075,3
MNQ,2021-04-01T22:02:45Z,13331,13331,13330,13330,8,13330.35,6
MNQ,2021-04-01T22:02:50Z,13330.25,13330.25,13329.75,13330.25,12,13330.025,9
MNQ,2021-04-01T22:02:55Z,13331.25,13331.25,13330.5,13330.5,9,13330.75,5
MNQ,2021-04-01T22:03:00Z,13331.25,13331.25,13331.25,13331.25,1,13331.25,1
MNQ,2021-04-01T22:03:05Z,13331.25,13332,13331.25,13331.25,12,13331.55,6
MNQ,2021-04-01T22:03:10Z,13331.25,13331.25,13331,13331.25,3,13331.175,3
MNQ,2021-04-01T22:03:15Z,13332,13332.25,13331.25,13331.75,8,13331.775,4
MNQ,2021-04-01T22:03:20Z,13331.25,13331.75,13331.25,13331.25,7,13331.575,4
MNQ,2021-04-01T22:03:25Z,13331.25,13331.75,13331.25,13331.75,2,13331.5,2
MNQ,2021-04-01T22:03:30Z,13332,13332.5,13331,13331,13,13331.725,8
MNQ,2021-04-01T22:03:35Z,13332,13332.25,13330.75,13330.75,20,13331.7,11
MNQ,2021-04-01T22:03:40Z,13331,13331,13331,13331,8,13331,3
MNQ,2021-04-01T22:03:45Z,13331.25,13331.75,13330.75,13331.75,13,13331.375,8
MNQ,2021-04-01T22:03:50Z,13331,13331,13331,13331,2,13331,2
MNQ,2021-04-01T22:03:55Z,13331,13331,13331,13331,1,13331,1
MNQ,2021-04-01T22:04:00Z,13331.5,13331.5,13330.75,13330.75,3,13331.175,3
MNQ,2021-04-01T22:04:05Z,13330.75,13330.75,13330.75,13330.75,0,13330.75,0
MNQ,2021-04-01T22:04:10Z,13331.25,13331.25,13330.75,13330.75,3,13330.925,2
MNQ,2021-04-01T22:04:15Z,13330.75,13330.75,13330.75,13330.75,0,13330.75,0
MNQ,2021-04-01T22:04:20Z,13331.25,13331.5,13331,13331.5,4,13331.325,4
MNQ,2021-04-01T22:04:25Z,13332,13332,13332,13332,1,13332,1
MNQ,2021-04-01T22:04:30Z,13332,13332.5,13332,13332.5,12,13332.225,12
MNQ,2021-04-01T22:04:35Z,13331.5,13332,13331.5,13332,3,13331.675,2
MNQ,2021-04-01T22:04:40Z,13331.25,13332.25,13331.25,13332,11,13331.85,7
MNQ,2021-04-01T22:04:45Z,13331.75,13331.75,13331.75,13331.75,2,13331.75,2
MNQ,2021-04-01T22:04:50Z,13332.25,13334,13332,13332.25,42,13332.925,24
MNQ,2021-04-01T22:04:55Z,13332.25,13333.75,13332.25,13333.75,7,13332.6,7
MNQ,2021-04-01T22:05:00Z,13333.25,13334.25,13333.25,13334,33,13333.925,21
MNQ,2021-04-01T22:05:05Z,13333.25,13335.75,13333.25,13334.25,51,13334.725,35
MNQ,2021-04-01T22:05:10Z,13335,13335.75,13335,13335,17,13335.25,10
MNQ,2021-04-01T22:05:15Z,13334.75,13335.25,13334.25,13334.5,16,13334.7,10
MNQ,2021-04-01T22:05:20Z,13335,13335,13334,13334,21,13334.6,8
MNQ,2021-04-01T22:05:25Z,13334.25,13334.75,13334.25,13334.5,4,13334.45,4
MNQ,2021-04-01T22:05:30Z,13334.25,13334.75,13334,13334.25,18,13334.3,11
MNQ,2021-04-01T22:05:35Z,13334,13334.25,13332.5,13333,25,13333.525,15
MNQ,2021-04-01T22:05:40Z,13333.25,13333.25,13333,13333,3,13333.075,3
MNQ,2021-04-01T22:05:45Z,13333.75,13334,13333.25,13333.25,3,13333.675,3
MNQ,2021-04-01T22:05:50Z,13333,13333,13333,13333,1,13333,1
MNQ,2021-04-01T22:05:55Z,13333.25,13333.25,13333.25,13333.25,3,13333.25,2
MNQ,2021-04-01T22:06:00Z,13333,13333.5,13332.5,13333,12,13333.075,8
MNQ,2021-04-01T22:06:05Z,13333,13333,13333,13333,0,13333,0
MNQ,2021-04-01T22:06:10Z,13332.25,13332.75,13332.25,13332.25,12,13332.4,9
MNQ,2021-04-01T22:06:15Z,13332.25,13332.75,13332.25,13332.25,10,13332.425,7
