Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-03-28T22:00:00Z,12967,12986.25,12965.75,12971,238,12972.425,151
MNQ,2021-03-28T22:00:05Z,12971.75,12972.25,12964.25,12965.75,74,12967.7,56
MNQ,2021-03-28T22:00:10Z,12965.75,12968,12964.75,12966.75,59,12966.3,44
MNQ,2021-03-28T22:00:15Z,12966.75,12968,12963.25,12963.25,39,12966.15,35
MNQ,2021-03-28T22:00:20Z,12963.25,12963.25,12954,12961.25,106,12958.775,78
MNQ,2021-03-28T22:00:25Z,12962.25,12964.25,12960.25,12963.75,29,12962.1,22
MNQ,2021-03-28T22:00:30Z,12962.25,12964,12956,12956.5,50,12960.65,36
MNQ,2021-03-28T22:00:35Z,12956.25,12963.25,12956.25,12963.25,76,12959.05,46
MNQ,2021-03-28T22:00:40Z,12963,12964.25,12961.75,12962.25,29,12963.05,20
MNQ,2021-03-28T22:00:45Z,12963.75,12964,12961.25,12962.75,23,12963,18
MNQ,2021-03-28T22:00:50Z,12961,12962.75,12960.25,12962.75,20,12961.35,14
MNQ,2021-03-28T22:00:55Z,12962.25,12964.75,12962,12963,40,12963.375,26
MNQ,2021-03-28T22:01:00Z,12963.25,12965.5,12962.25,12962.75,47,12964.25,23
MNQ,2021-03-28T22:01:05Z,12962.75,12963.75,12961.5,12963.75,17,12962.35,13
MNQ,2021-03-28T22:01:10Z,12964.25,12968.5,12964.25,12965.75,42,12966.45,32
MNQ,2021-03-28T22:01:15Z,12965.25,12968.75,12965.25,12967.25,16,12967.1,14
MNQ,2021-03-28T22:01:20Z,12966.75,12968.5,12966.25,12967.25,37,12967.45,22
MNQ,2021-03-28T22:01:25Z,12966,12967.25,12965.75,12966.75,25,12966.25,14
MNQ,2021-03-28T22:01:30Z,12966.75,12966.75,12964.75,12965.25,17,12965.4,14
MNQ,2021-03-28T22:01:35Z,12964.75,12965.25,12964,12964,21,12964.375,11
MNQ,2021-03-28T22:01:40Z,12965.25,12966.25,12964.25,12965.25,12,12965.15,10
MNQ,2021-03-28T22:01:45Z,12965.25,12966.75,12963.75,12966,50,12965.45,20
MNQ,2021-03-28T22:01:50Z,12965.75,12966.25,12964.75,12964.75,8,12965.475,6
MNQ,2021-03-28T22:01:55Z,12966.25,12966.25,12964.25,12964.25,14,12965.4,11
MNQ,2021-03-28T22:02:00Z,12965.75,12966,12963,12963.75,25,12964.125,17
MNQ,2021-03-28T22:02:05Z,12963.75,12963.75,12960.25,12962.25,43,12961.45,28
MNQ,2021-03-28T22:02:10Z,12960.75,12962.75,12958.25,12958.5,29,12959.95,22
MNQ,2021-03-28T22:02:15Z,12958,12959.25,12956,12956,27,12957.35,22
MNQ,2021-03-28T22:02:20Z,12955.75,12956.5,12954.75,12955.25,20,12955.525,20
