Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-13T22:00:00Z,13977,13980.25,13976,13979.5,80,13978.45,43
MNQ,2021-04-13T22:00:05Z,13978.25,13979.25,13978.25,13979.25,11,13978.625,7
MNQ,2021-04-13T22:00:10Z,13979.25,13979.25,13975,13975.25,28,13976.625,19
MNQ,2021-04-13T22:00:15Z,13975.25,13977.5,13974.75,13977.5,10,13975.95,8
MNQ,2021-04-13T22:00:20Z,13976.75,13977.25,13976.75,13977.25,3,13977,3
MNQ,2021-04-13T22:00:25Z,13977.75,13978.75,13976.25,13978.75,24,13977.4,19
MNQ,2021-04-13T22:00:30Z,13978.75,13978.75,13976.5,13978.5,6,13977.625,4
MNQ,2021-04-13T22:00:35Z,13978.25,13978.25,13977.5,13978.25,6,13978.125,5
MNQ,2021-04-13T22:00:40Z,13978.25,13978.75,13976.75,13978.75,16,13978.2,9
MNQ,2021-04-13T22:00:45Z,13978.75,13979.5,13978.75,13979.25,16,13978.975,7
MNQ,2021-04-13T22:00:50Z,13979.5,13980,13979.25,13979.5,7,13979.475,4
MNQ,2021-04-13T22:00:55Z,13977.75,13979,13977.5,13977.5,12,13977.825,8
MNQ,2021-04-13T22:01:00Z,13977.5,13978.5,13977.5,13978.25,3,13978.075,3
MNQ,2021-04-13T22:01:05Z,13977.25,13977.25,13975.25,13975.25,24,13976.325,14
MNQ,2021-04-13T22:01:10Z,13975.25,13976.75,13974,13975.25,34,13975.2,17
MNQ,2021-04-13T22:01:15Z,13977,13977,13974.75,13974.75,8,13975.725,6
MNQ,2021-04-13T22:01:20Z,13976,13977,13975,13977,6,13976.425,5
MNQ,2021-04-13T22:01:25Z,13976.25,13977,13976,13977,5,13976.3,5
MNQ,2021-04-13T22:01:30Z,13977.5,13977.5,13976,13976,2,13976.75,2
MNQ,2021-04-13T22:01:35Z,13976,13976.5,13976,13976.5,4,13976.125,2
MNQ,2021-04-13T22:01:40Z,13976,13976.5,13974.5,13975.5,17,13975.25,9
MNQ,2021-04-13T22:01:45Z,13975.75,13975.75,13975.75,13975.75,1,13975.75,1
MNQ,2021-04-13T22:01:50Z,13975.5,13976.75,13974.25,13975.25,18,13975.6,12
MNQ,2021-04-13T22:01:55Z,13976.75,13977.25,13976.75,13977.25,5,13977.05,3
MNQ,2021-04-13T22:02:00Z,13975.75,13975.75,13975.75,13975.75,1,13975.75,1
MNQ,2021-04-13T22:02:05Z,13974.5,13975.75,13974.5,13975.5,6,13975.125,5
MNQ,2021-04-13T22:02:10Z,13976.5,13976.5,13975.75,13975.75,5,13975.9,3
MNQ,2021-04-13T22:02:15Z,13975.75,13976.75,13975.75,13976.75,5,13975.95,2
MNQ,2021-04-13T22:02:20Z,13975.25,13975.25,13975.25,13975.25,5,13975.25,3
MNQ,2021-04-13T22:02:25Z,13975.25,13975.25,13975.25,13975.25,2,13975.25,1
MNQ,2021-04-13T22:02:30Z,13976.5,13976.5,13976.5,13976.5,2,13976.5,1
MNQ,2021-04-13T22:02:35Z,13976.5,13977.75,13976.5,13977.75,26,13976.825,7
MNQ,2021-04-13T22:02:40Z,13976.25,13976.25,13976,13976,5,13976.1,2
MNQ,2021-04-13T22:02:45Z,13976,13976,13976,13976,0,13976,0
MNQ,2021-04-13T22:02:50Z,13976.25,13977.5,13976.25,13977.5,2,13976.875,2
MNQ,2021-04-13T22:02:55Z,13977.5,13978,13977.5,13978,17,13977.925,8
MNQ,2021-04-13T22:03:00Z,13976.25,13977,13976,13977,6,13976.25,3
MNQ,2021-04-13T22:03:05Z,13976.25,13977.75,13976.25,13976.25,4,13976.625,3
MNQ,2021-04-13T22:03:10Z,13976.75,13977.75,13976.75,13977.75,4,13977.5,3
MNQ,2021-04-13T22:03:15Z,13976.25,13976.25,13976.25,13976.25,2,13976.25,1
MNQ,2021-04-13T22:03:20Z,13977.75,13977.75,13977.75,13977.75,1,13977.75,1
MNQ,2021-04-13T22:03:25Z,13978,13978.25,13978,13978.25,4,13978.075,3
MNQ,2021-04-13T22:03:30Z,13978,13978,13978,13978,1,13978,1
MNQ,2021-04-13T22:03:35Z,13977.75,13977.75,13977.75,13977.75,1,13977.75,1
MNQ,2021-04-13T22:03:40Z,13977.75,13977.75,13977.75,13977.75,0,13977.75,0
MNQ,2021-04-13T22:03:45Z,13977,13977,13977,13977,1,13977,1
MNQ,2021-04-13T22:03:50Z,13978,13978,13978,13978,3,13978,1
MNQ,2021-04-13T22:03:55Z,13977.75,13977.75,13977.75,13977.75,1,13977.75,1
MNQ,2021-04-13T22:04:00Z,13977.75,13978,13977.75,13978,5,13977.95,2
MNQ,2021-04-13T22:04:05Z,13977.25,13977.75,13977,13977.75,12,13977.425,4
MNQ,2021-04-13T22:04:10Z,13976.25,13976.75,13976.25,13976.5,3,13976.5,3
MNQ,2021-04-13T22:04:15Z,13977.75,13977.75,13977.75,13977.75,4,13977.75,2
MNQ,2021-04-13T22:04:20Z,13977.75,13978,13977.75,13978,15,13977.9,3
MNQ,2021-04-13T22:04:25Z,13978.25,13979,13977.5,13977.5,6,13978.425,5
MNQ,2021-04-13T22:04:30Z,13977.75,13978.75,13977.75,13978.75,12,13978.05,4
MNQ,2021-04-13T22:04:35Z,13978.75,13978.75,13978.75,13978.75,0,13978.75,0
MNQ,2021-04-13T22:04:40Z,13978.75,13978.75,13978.75,13978.75,0,13978.75,0
MNQ,2021-04-13T22:04:45Z,13978.75,13978.75,13978.75,13978.75,2,13978.75,2
MNQ,2021-04-13T22:04:50Z,13977.75,13978.5,13977.75,13978.5,2,13978.125,2
MNQ,2021-04-13T22:04:55Z,13978.5,13978.5,13978.5,13978.5,1,13978.5,1
MNQ,2021-04-13T22:05:00Z,13978.5,13978.5,13977,13977,6,13978.25,4
MNQ,2021-04-13T22:05:05Z,13977.25,13978,13977.25,13978,2,13977.625,2
MNQ,2021-04-13T22:05:10Z,13978,13978,13978,13978,0,13978,0
MNQ,2021-04-13T22:05:15Z,13977.25,13978,13977.25,13978,2,13977.625,2
MNQ,2021-04-13T22:05:20Z,13977.25,13977.25,13977.25,13977.25,1,13977.25,1
MNQ,2021-04-13T22:05:25Z,13977.25,13977.25,13977.25,13977.25,0,13977.25,0
MNQ,2021-04-13T22:05:30Z,13977,13977,13977,13977,5,13977,1
MNQ,2021-04-13T22:05:35Z,13976.75,13976.75,13975.75,13975.75,9,13976.15,4
MNQ,2021-04-13T22:05:40Z,13977.25,13977.25,13975.75,13977.25,7,13976.475,5
MNQ,2021-04-13T22:05:45Z,13977.25,13977.25,13977.25,13977.25,0,13977.25,0
MNQ,2021-04-13T22:05:50Z,13976,13976,13976,13976,1,13976,1
MNQ,2021-04-13T22:05:55Z,13975.75,13975.75,13975.5,13975.5,6,13975.625,3
MNQ,2021-04-13T22:06:00Z,13975.75,13977,13975.5,13975.75,5,13976.1,5
MNQ,2021-04-13T22:06:05Z,13975.75,13975.75,13975.75,13975.75,0,13975.75,0
MNQ,2021-04-13T22:06:10Z,13975.75,13975.75,13975.75,13975.75,0,13975.75,0
MNQ,2021-04-13T22:06:15Z,13975.75,13975.75,13975.75,13975.75,3,13975.75,3
MNQ,2021-04-13T22:06:20Z,13975.5,13975.75,13975.5,13975.5,6,13975.675,4
MNQ,2021-04-13T22:06:25Z,13975.25,13975.25,13975,13975,6,13975.125,2
MNQ,2021-04-13T22:06:30Z,13974.5,13975.75,13974.25,13974.25,6,13974.625,6
MNQ,2021-04-13T22:06:35Z,13974.25,13974.5,13974.25,13974.5,2,13974.375,2
MNQ,2021-04-13T22:06:40Z,13975.25,13975.5,13974,13975.5,8,13974.75,4
MNQ,2021-04-13T22:06:45Z,13973.75,13975.25,13973.75,13975.25,3,13974.25,2
MNQ,2021-04-13T22:06:50Z,13975,13975.25,13973.5,13973.5,11,13974.25,6
MNQ,2021-04-13T22:06:55Z,13973.5,13973.5,13973.5,13973.5,0,13973.5,0
MNQ,2021-04-13T22:07:00Z,13973.5,13974.5,13973.5,13974.5,3,13973.825,3
MNQ,2021-04-13T22:07:05Z,13974.5,13974.75,13972.75,13974.75,5,13973.5,5
MNQ,2021-04-13T22:07:10Z,13974.75,13975.75,13974.5,13974.5,14,13974.975,7
MNQ,2021-04-13T22:07:15Z,13975,13975,13975,13975,5,13975,1
MNQ,2021-04-13T22:07:20Z,13975.5,13975.75,13975.5,13975.75,14,13975.725,3
MNQ,2021-04-13T22:07:25Z,13975.75,13975.75,13975.75,13975.75,0,13975.75,0
MNQ,2021-04-13T22:07:30Z,13975.75,13975.75,13975.75,13975.75,0,13975.75,0
MNQ,2021-04-13T22:07:35Z,13975,13975,13975,13975,16,13975,1
MNQ,2021-04-13T22:07:40Z,13975,13975,13975,13975,1,13975,1
MNQ,2021-04-13T22:07:45Z,13975,13975,13974.75,13974.75,2,13974.875,2
MNQ,2021-04-13T22:07:50Z,13974.75,13974.75,13974.75,13974.75,0,13974.75,0
MNQ,2021-04-13T22:07:55Z,13974.75,13974.75,13974.75,13974.75,2,13974.75,2
MNQ,2021-04-13T22:08:00Z,13974.75,13974.75,13974.75,13974.75,0,13974.75,0
MNQ,2021-04-13T22:08:05Z,13976,13976,13976,13976,1,13976,1
MNQ,2021-04-13T22:08:10Z,13976,13976,13976,13976,1,13976,1
MNQ,2021-04-13T22:08:15Z,13976.25,13976.25,13976.25,13976.25,4,13976.25,1
MNQ,2021-04-13T22:08:20Z,13975,13975,13974.25,13974.25,6,13974.675,5
MNQ,2021-04-13T22:08:25Z,13972.75,13972.75,13972.75,13972.75,2,13972.75,1
MNQ,2021-04-13T22:08:30Z,13972.75,13972.75,13972.75,13972.75,0,13972.75,0
MNQ,2021-04-13T22:08:35Z,13975.5,13975.5,13975.5,13975.5,1,13975.5,1
MNQ,2021-04-13T22:08:40Z,13972.75,13972.75,13972.75,13972.75,3,13972.75,2
MNQ,2021-04-13T22:08:45Z,13973,13973,13973,13973,4,13973,2
