Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-22T22:00:00Z,13757.25,13760.5,13749.5,13756.5,49,13755.05,32
MNQ,2021-04-22T22:00:05Z,13755.75,13759.75,13755.75,13758.5,52,13758,34
MNQ,2021-04-22T22:00:10Z,13758,13761.75,13757.25,13761.25,54,13759.375,38
MNQ,2021-04-22T22:00:15Z,13761.25,13762,13759.75,13761,28,13761.225,15
MNQ,2021-04-22T22:00:20Z,13760.75,13761.5,13759.5,13761.5,26,13760.5,18
MNQ,2021-04-22T22:00:25Z,13760.25,13761.25,13760.25,13760.75,8,13760.575,5
MNQ,2021-04-22T22:00:30Z,13761.25,13761.75,13760.75,13761,12,13761.3,10
MNQ,2021-04-22T22:00:35Z,13760.25,13761.25,13760.25,13761.25,3,13760.825,3
MNQ,2021-04-22T22:00:40Z,13760.75,13760.75,13759.25,13760.25,17,13760.075,10
MNQ,2021-04-22T22:00:45Z,13760.75,13761.75,13760.75,13761.75,38,13761.05,8
MNQ,2021-04-22T22:00:50Z,13761.25,13762.25,13761,13762.25,12,13761.4,10
MNQ,2021-04-22T22:00:55Z,13762.25,13762.25,13761,13761,7,13761.325,5
MNQ,2021-04-22T22:01:00Z,13761,13762.25,13760.25,13760.25,63,13761.175,17
MNQ,2021-04-22T22:01:05Z,13760.75,13760.75,13759.75,13760.75,20,13760.525,6
MNQ,2021-04-22T22:01:10Z,13759.5,13761.25,13759.5,13760.25,6,13760.5,6
MNQ,2021-04-22T22:01:15Z,13761.75,13762.25,13760.25,13760.75,19,13761.425,10
MNQ,2021-04-22T22:01:20Z,13760.75,13760.75,13759,13759.75,20,13759.725,15
MNQ,2021-04-22T22:01:25Z,13760.25,13761,13759.25,13759.25,24,13760.075,11
MNQ,2021-04-22T22:01:30Z,13759.75,13759.75,13759.5,13759.5,4,13759.7,4
MNQ,2021-04-22T22:01:35Z,13760.75,13761,13759.75,13760.75,17,13760.5,10
MNQ,2021-04-22T22:01:40Z,13761.25,13762,13760.75,13760.75,11,13761.725,5
MNQ,2021-04-22T22:01:45Z,13760.75,13761.75,13760.75,13761.75,6,13761.375,5
MNQ,2021-04-22T22:01:50Z,13761,13761.75,13761,13761.75,6,13761.45,6
MNQ,2021-04-22T22:01:55Z,13762.25,13762.25,13762.25,13762.25,4,13762.25,2
MNQ,2021-04-22T22:02:00Z,13762.25,13762.25,13759.75,13759.75,14,13760.9,9
MNQ,2021-04-22T22:02:05Z,13760.25,13760.25,13760.25,13760.25,2,13760.25,1
MNQ,2021-04-22T22:02:10Z,13759.25,13759.25,13758.75,13758.75,3,13759,3
MNQ,2021-04-22T22:02:15Z,13759.25,13759.25,13757.25,13758,19,13758.075,15
MNQ,2021-04-22T22:02:20Z,13758,13758.25,13757.75,13758,13,13757.95,10
MNQ,2021-04-22T22:02:25Z,13758,13758.75,13758,13758,7,13758.15,7
MNQ,2021-04-22T22:02:30Z,13757.5,13757.75,13756.75,13757.75,16,13757.275,14
MNQ,2021-04-22T22:02:35Z,13758,13758.5,13757.5,13758.5,9,13758.15,9
MNQ,2021-04-22T22:02:40Z,13758.75,13758.75,13757.75,13758.25,21,13758.175,14
MNQ,2021-04-22T22:02:45Z,13758.75,13759,13758.25,13758.25,9,13758.75,5
MNQ,2021-04-22T22:02:50Z,13758.75,13759,13758.25,13758.25,16,13758.4,9
MNQ,2021-04-22T22:02:55Z,13758.5,13758.75,13758.5,13758.75,12,13758.55,8
MNQ,2021-04-22T22:03:00Z,13758,13758,13756.75,13757.25,15,13757.475,9
MNQ,2021-04-22T22:03:05Z,13757,13758,13756.75,13756.75,11,13757.2,9
MNQ,2021-04-22T22:03:10Z,13757,13757,13757,13757,8,13757,3
MNQ,2021-04-22T22:03:15Z,13756.75,13757.25,13756.75,13757,5,13757,5
MNQ,2021-04-22T22:03:20Z,13757.25,13757.25,13757.25,13757.25,5,13757.25,5
MNQ,2021-04-22T22:03:25Z,13756.5,13756.5,13756.5,13756.5,2,13756.5,1
MNQ,2021-04-22T22:03:30Z,13757,13758.5,13757,13758.5,22,13757.725,14
MNQ,2021-04-22T22:03:35Z,13757.5,13758,13757.25,13757.25,5,13757.75,3
MNQ,2021-04-22T22:03:40Z,13757.75,13757.75,13757.75,13757.75,5,13757.75,3
MNQ,2021-04-22T22:03:45Z,13757.75,13757.75,13757.75,13757.75,1,13757.75,1
MNQ,2021-04-22T22:03:50Z,13757.75,13757.75,13757.25,13757.25,6,13757.55,5
MNQ,2021-04-22T22:03:55Z,13756.5,13758.5,13756.25,13758.5,14,13757.475,9
MNQ,2021-04-22T22:04:00Z,13757.5,13758,13757.25,13758,5,13757.5,4
MNQ,2021-04-22T22:04:05Z,13758.25,13758.5,13757.75,13757.75,8,13758.2,5
MNQ,2021-04-22T22:04:10Z,13758.75,13758.75,13758.75,13758.75,7,13758.75,2
MNQ,2021-04-22T22:04:15Z,13758.75,13760,13758.75,13760,17,13759.075,13
MNQ,2021-04-22T22:04:20Z,13759.75,13760.5,13759.75,13760.5,13,13760.1,10
MNQ,2021-04-22T22:04:25Z,13760.75,13762.5,13760.75,13762,25,13761.7,14
MNQ,2021-04-22T22:04:30Z,13762.25,13763.75,13762,13763.5,47,13763,34
MNQ,2021-04-22T22:04:35Z,13762.75,13763.25,13762.75,13763.25,10,13762.825,4
MNQ,2021-04-22T22:04:40Z,13763.25,13763.25,13762.75,13762.75,8,13762.975,6
MNQ,2021-04-22T22:04:45Z,13763,13763,13761.75,13762.75,24,13762.325,19
MNQ,2021-04-22T22:04:50Z,13763,13763.25,13762.75,13762.75,10,13762.95,9
MNQ,2021-04-22T22:04:55Z,13762.75,13763.75,13762.75,13763.5,19,13763.275,15
MNQ,2021-04-22T22:05:00Z,13763.5,13764.5,13762.75,13764,32,13763.85,18
MNQ,2021-04-22T22:05:05Z,13764.25,13764.25,13762.75,13762.75,10,13763.4,6
MNQ,2021-04-22T22:05:10Z,13763.5,13763.75,13763.25,13763.5,7,13763.475,6
MNQ,2021-04-22T22:05:15Z,13762.75,13763.5,13762.75,13763.25,5,13763.1,4
MNQ,2021-04-22T22:05:20Z,13763.5,13763.75,13763.25,13763.25,13,13763.575,7
MNQ,2021-04-22T22:05:25Z,13763,13763.5,13763,13763.5,4,13763.325,4
MNQ,2021-04-22T22:05:30Z,13763.5,13763.5,13762.25,13762.25,16,13762.95,7
MNQ,2021-04-22T22:05:35Z,13762.5,13763,13762.5,13762.5,6,13762.75,4
MNQ,2021-04-22T22:05:40Z,13762.75,13762.75,13762,13762,11,13762.375,6
MNQ,2021-04-22T22:05:45Z,13762.25,13762.25,13762,13762,3,13762.075,2
MNQ,2021-04-22T22:05:50Z,13761.75,13762.25,13761.75,13762.25,7,13761.925,5
MNQ,2021-04-22T22:05:55Z,13762,13762,13762,13762,9,13762,4
MNQ,2021-04-22T22:06:00Z,13762.5,13762.5,13762,13762,4,13762.2,4
MNQ,2021-04-22T22:06:05Z,13762.25,13762.25,13761.75,13761.75,5,13761.85,4
MNQ,2021-04-22T22:06:10Z,13762.25,13762.25,13762.25,13762.25,2,13762.25,1
MNQ,2021-04-22T22:06:15Z,13761.75,13761.75,13761.75,13761.75,2,13761.75,2
MNQ,2021-04-22T22:06:20Z,13762.25,13763,13762.25,13762.75,4,13762.7,4
MNQ,2021-04-22T22:06:25Z,13763,13764,13763,13764,9,13763.425,5
MNQ,2021-04-22T22:06:30Z,13764,13765.25,13764,13765.25,35,13764.825,17
MNQ,2021-04-22T22:06:35Z,13764.5,13765.75,13764.25,13765.75,22,13765.025,16
MNQ,2021-04-22T22:06:40Z,13765.75,13766.25,13765,13765,46,13765.625,21
MNQ,2021-04-22T22:06:45Z,13765,13765.5,13764.75,13764.75,19,13765.1,14
MNQ,2021-04-22T22:06:50Z,13764.5,13764.75,13764.25,13764.25,11,13764.45,6
MNQ,2021-04-22T22:06:55Z,13763.75,13763.75,13762.75,13763.25,16,13763.225,13
MNQ,2021-04-22T22:07:00Z,13763,13763.25,13762.75,13763.25,5,13762.95,4
MNQ,2021-04-22T22:07:05Z,13762.75,13763.25,13762.5,13762.75,12,13762.95,10
MNQ,2021-04-22T22:07:10Z,13763.25,13763.25,13763.25,13763.25,2,13763.25,1
MNQ,2021-04-22T22:07:15Z,13763.25,13763.25,13763.25,13763.25,0,13763.25,0
MNQ,2021-04-22T22:07:20Z,13763.75,13764,13763.5,13763.5,11,13763.775,8
MNQ,2021-04-22T22:07:25Z,13763.75,13763.75,13763.25,13763.75,10,13763.5,6
MNQ,2021-04-22T22:07:30Z,13763.25,13763.5,13763,13763,6,13763.3,5
MNQ,2021-04-22T22:07:35Z,13762.75,13762.75,13762.5,13762.5,17,13762.65,4
MNQ,2021-04-22T22:07:40Z,13763,13763.25,13763,13763.25,4,13763.2,3
MNQ,2021-04-22T22:07:45Z,13763.25,13763.75,13762.75,13762.75,13,13763.3,6
MNQ,2021-04-22T22:07:50Z,13763.25,13763.25,13762.75,13762.75,3,13763.075,2
