Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-21T22:00:00Z,13895.25,13899.25,13891,13892,81,13894.375,46
MNQ,2021-04-21T22:00:05Z,13893.25,13894.75,13893.25,13894.5,18,13894.125,13
MNQ,2021-04-21T22:00:10Z,13895.25,13896.25,13894.5,13895.5,15,13895.525,11
MNQ,2021-04-21T22:00:15Z,13895.25,13896.25,13894.75,13894.75,22,13895.575,14
MNQ,2021-04-21T22:00:20Z,13895.25,13895.25,13892.75,13893.75,22,13893.625,14
MNQ,2021-04-21T22:00:25Z,13893,13894.5,13893,13894.5,2,13893.75,2
MNQ,2021-04-21T22:00:30Z,13894.5,13894.5,13894.25,13894.25,4,13894.375,4
MNQ,2021-04-21T22:00:35Z,13894.5,13894.75,13894.5,13894.75,5,13894.65,2
MNQ,2021-04-21T22:00:40Z,13893.75,13895,13893.75,13894.75,6,13894.45,4
MNQ,2021-04-21T22:00:45Z,13894.25,13894.75,13894,13894.25,19,13894.5,8
MNQ,2021-04-21T22:00:50Z,13895,13895,13894.25,13894.25,4,13894.7,4
MNQ,2021-04-21T22:00:55Z,13894.25,13894.75,13894.25,13894.75,4,13894.625,4
MNQ,2021-04-21T22:01:00Z,13895,13897.75,13895,13896.75,45,13896.875,30
MNQ,2021-04-21T22:01:05Z,13896.75,13898,13896.75,13897.75,15,13897.325,9
MNQ,2021-04-21T22:01:10Z,13898,13898.25,13897.25,13898.25,7,13898,6
MNQ,2021-04-21T22:01:15Z,13898,13898.5,13898,13898.25,8,13898.25,8
MNQ,2021-04-21T22:01:20Z,13897.75,13898.25,13897.5,13898.25,13,13897.925,10
MNQ,2021-04-21T22:01:25Z,13898.25,13898.5,13898,13898.5,10,13898.325,7
MNQ,2021-04-21T22:01:30Z,13898.25,13898.25,13897.5,13898.25,18,13897.9,12
MNQ,2021-04-21T22:01:35Z,13898.25,13898.5,13897.75,13897.75,7,13898.175,7
MNQ,2021-04-21T22:01:40Z,13898.5,13898.75,13898.5,13898.5,6,13898.575,3
MNQ,2021-04-21T22:01:45Z,13898.25,13898.5,13897.75,13897.75,10,13898.075,6
MNQ,2021-04-21T22:01:50Z,13898.25,13898.25,13897.75,13897.75,7,13897.925,6
MNQ,2021-04-21T22:01:55Z,13897.5,13898.25,13896.75,13898.25,44,13897.575,19
MNQ,2021-04-21T22:02:00Z,13898,13898.25,13897.75,13897.75,3,13898,3
MNQ,2021-04-21T22:02:05Z,13897.25,13897.25,13897.25,13897.25,2,13897.25,1
MNQ,2021-04-21T22:02:10Z,13897.25,13897.75,13897.25,13897.75,2,13897.5,2
MNQ,2021-04-21T22:02:15Z,13897,13898.25,13897,13898.25,9,13897.925,5
MNQ,2021-04-21T22:02:20Z,13897.75,13898.75,13897.75,13897.75,5,13898.2,5
MNQ,2021-04-21T22:02:25Z,13898.5,13898.75,13897.75,13897.75,5,13898.3,3
MNQ,2021-04-21T22:02:30Z,13897.75,13897.75,13897.75,13897.75,0,13897.75,0
MNQ,2021-04-21T22:02:35Z,13898.75,13898.75,13897.75,13897.75,4,13898.075,3
MNQ,2021-04-21T22:02:40Z,13898.5,13898.5,13898,13898,3,13898.175,2
MNQ,2021-04-21T22:02:45Z,13898,13899,13898,13898.5,31,13898.7,10
MNQ,2021-04-21T22:02:50Z,13899.25,13899.25,13898.75,13898.75,5,13899.15,3
