Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-11T22:00:00Z,13817.25,13822.5,13802.25,13819.25,205,13812.45,96
MNQ,2021-04-11T22:00:05Z,13819,13819,13811.25,13811.75,111,13814.875,50
MNQ,2021-04-11T22:00:10Z,13811.25,13812.25,13808,13808,43,13809.8,27
MNQ,2021-04-11T22:00:15Z,13809.25,13810,13807,13809.75,63,13808.825,38
MNQ,2021-04-11T22:00:20Z,13808.75,13809.75,13806.75,13807.25,70,13808,39
MNQ,2021-04-11T22:00:25Z,13807.5,13808.25,13806.25,13806.75,35,13807.275,26
MNQ,2021-04-11T22:00:30Z,13807.25,13810.75,13806,13809.75,64,13808.3,32
MNQ,2021-04-11T22:00:35Z,13809.75,13812.25,13809.75,13812.25,35,13811.1,23
MNQ,2021-04-11T22:00:40Z,13811.75,13811.75,13809.5,13809.5,28,13810.825,19
MNQ,2021-04-11T22:00:45Z,13809.25,13809.25,13806,13806,70,13807.05,38
MNQ,2021-04-11T22:00:50Z,13806.25,13806.25,13804.5,13804.5,39,13805.2,25
MNQ,2021-04-11T22:00:55Z,13804.5,13806.75,13804,13806.5,30,13805.8,21
MNQ,2021-04-11T22:01:00Z,13806.75,13808.5,13806.25,13806.5,57,13807.2,42
MNQ,2021-04-11T22:01:05Z,13806.75,13807.75,13806.75,13807.75,10,13807.375,9
MNQ,2021-04-11T22:01:10Z,13808,13809.75,13807.75,13809.25,38,13808.825,20
MNQ,2021-04-11T22:01:15Z,13809.25,13809.25,13807.5,13807.5,12,13808.025,9
MNQ,2021-04-11T22:01:20Z,13808.5,13812.25,13807.75,13811.75,41,13810.5,20
MNQ,2021-04-11T22:01:25Z,13811.25,13812.25,13811,13811.75,22,13811.65,14
MNQ,2021-04-11T22:01:30Z,13812.25,13814,13811.5,13814,18,13813,15
MNQ,2021-04-11T22:01:35Z,13813,13816,13812.75,13814.75,25,13814.3,12
MNQ,2021-04-11T22:01:40Z,13815.5,13816,13814.5,13815.25,32,13815.4,20
MNQ,2021-04-11T22:01:45Z,13816.5,13817.25,13815.25,13816,47,13816.35,30
MNQ,2021-04-11T22:01:50Z,13815,13815.25,13814,13814,6,13814.375,4
MNQ,2021-04-11T22:01:55Z,13814,13815.5,13813.75,13815.5,24,13814.625,13
MNQ,2021-04-11T22:02:00Z,13816.25,13816.25,13816.25,13816.25,4,13816.25,4
MNQ,2021-04-11T22:02:05Z,13816,13816.75,13815.75,13815.75,17,13816.05,13
MNQ,2021-04-11T22:02:10Z,13815.5,13815.5,13814.25,13815,23,13814.65,9
MNQ,2021-04-11T22:02:15Z,13814.25,13814.25,13813.75,13814.25,14,13814.1,7
MNQ,2021-04-11T22:02:20Z,13814.25,13817.25,13814.25,13816,40,13815.85,24
MNQ,2021-04-11T22:02:25Z,13815.5,13816.5,13815.25,13816,26,13815.75,16
MNQ,2021-04-11T22:02:30Z,13816.75,13817,13815.5,13815.5,21,13816.575,12
