Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-14T22:00:00Z,13827.5,13831,13826,13826.25,37,13828.225,25
MNQ,2021-04-14T22:00:05Z,13828.25,13828.5,13824,13825.75,24,13825.825,20
MNQ,2021-04-14T22:00:10Z,13825.75,13826.75,13824.75,13825.25,25,13825.75,19
MNQ,2021-04-14T22:00:15Z,13823.75,13825.25,13822.75,13824,27,13823.825,18
MNQ,2021-04-14T22:00:20Z,13823.75,13826,13822.75,13822.75,40,13824.45,22
MNQ,2021-04-14T22:00:25Z,13823.25,13824.75,13823.25,13823.5,22,13823.625,12
MNQ,2021-04-14T22:00:30Z,13823.75,13824.25,13822,13823.25,23,13822.75,14
MNQ,2021-04-14T22:00:35Z,13822.5,13822.75,13821.75,13822.75,13,13822.175,11
MNQ,2021-04-14T22:00:40Z,13822.5,13823.25,13822.5,13823.25,7,13822.85,5
MNQ,2021-04-14T22:00:45Z,13823.25,13824.25,13823.25,13824.25,5,13823.7,5
MNQ,2021-04-14T22:00:50Z,13823.75,13823.75,13822.5,13823.75,15,13823.225,11
MNQ,2021-04-14T22:00:55Z,13823.75,13824.25,13823.25,13823.25,11,13823.75,9
MNQ,2021-04-14T22:01:00Z,13823.25,13825,13822.75,13823.75,35,13823.825,19
MNQ,2021-04-14T22:01:05Z,13824.5,13825,13824,13824.75,8,13824.575,7
MNQ,2021-04-14T22:01:10Z,13824.25,13824.75,13824.25,13824.75,9,13824.7,6
MNQ,2021-04-14T22:01:15Z,13824.25,13825.5,13824.25,13824.25,16,13824.975,7
MNQ,2021-04-14T22:01:20Z,13824.75,13825.75,13824.25,13824.25,9,13824.925,8
MNQ,2021-04-14T22:01:25Z,13825.25,13825.25,13824.25,13824.25,11,13824.475,9
MNQ,2021-04-14T22:01:30Z,13824.25,13825.25,13824.25,13825.25,15,13825.05,8
MNQ,2021-04-14T22:01:35Z,13825,13825.75,13825,13825.75,3,13825.5,2
MNQ,2021-04-14T22:01:40Z,13825,13825,13825,13825,1,13825,1
MNQ,2021-04-14T22:01:45Z,13825,13825,13825,13825,1,13825,1
MNQ,2021-04-14T22:01:50Z,13824.75,13826,13824.5,13826,16,13825.4,7
MNQ,2021-04-14T22:01:55Z,13825.25,13825.5,13822.5,13822.5,21,13824.125,13
MNQ,2021-04-14T22:02:00Z,13823.25,13824.75,13823.25,13824.75,3,13824.175,3
MNQ,2021-04-14T22:02:05Z,13824.75,13824.75,13824.75,13824.75,1,13824.75,1
MNQ,2021-04-14T22:02:10Z,13824.75,13825,13824.25,13825,18,13824.8,7
MNQ,2021-04-14T22:02:15Z,13825,13825,13824,13824,3,13824.675,2
MNQ,2021-04-14T22:02:20Z,13823.75,13824.25,13823.75,13824.25,5,13823.95,4
MNQ,2021-04-14T22:02:25Z,13824.25,13824.25,13823.5,13824.25,3,13824,3
MNQ,2021-04-14T22:02:30Z,13824.25,13825.5,13824.25,13825.5,13,13824.9,7
MNQ,2021-04-14T22:02:35Z,13825.75,13828,13825.75,13827.25,24,13827.125,10
MNQ,2021-04-14T22:02:40Z,13827.5,13827.5,13826.5,13826.5,13,13827.25,5
MNQ,2021-04-14T22:02:45Z,13827.75,13827.75,13827,13827.25,8,13827.35,4
MNQ,2021-04-14T22:02:50Z,13827.25,13827.25,13827.25,13827.25,2,13827.25,1
MNQ,2021-04-14T22:02:55Z,13827.75,13828.5,13827.75,13828.5,9,13828.2,5
MNQ,2021-04-14T22:03:00Z,13828.5,13828.5,13827.75,13828.5,8,13828.125,7
MNQ,2021-04-14T22:03:05Z,13828.5,13828.5,13828.25,13828.25,7,13828.475,2
MNQ,2021-04-14T22:03:10Z,13828.25,13828.75,13828,13828.75,8,13828.525,6
MNQ,2021-04-14T22:03:15Z,13828,13830,13828,13830,19,13829.275,12
MNQ,2021-04-14T22:03:20Z,13829.75,13830.5,13829.5,13829.5,16,13829.975,10
MNQ,2021-04-14T22:03:25Z,13829.75,13829.75,13828.75,13829.25,10,13829.375,7
MNQ,2021-04-14T22:03:30Z,13829.5,13830,13829.5,13829.75,5,13829.75,5
MNQ,2021-04-14T22:03:35Z,13829.75,13829.75,13829.75,13829.75,1,13829.75,1
MNQ,2021-04-14T22:03:40Z,13829.75,13830,13828.5,13828.5,7,13829.1,5
MNQ,2021-04-14T22:03:45Z,13829,13829.75,13829,13829.75,5,13829.3,4
MNQ,2021-04-14T22:03:50Z,13829.5,13830,13829.25,13829.25,3,13829.575,3
MNQ,2021-04-14T22:03:55Z,13830.5,13830.5,13830.5,13830.5,1,13830.5,1
MNQ,2021-04-14T22:04:00Z,13830.75,13832,13830.75,13832,17,13831.125,8
MNQ,2021-04-14T22:04:05Z,13831.75,13832,13831,13831.75,15,13831.575,8
MNQ,2021-04-14T22:04:10Z,13831.5,13831.5,13830,13830.75,41,13830.5,23
MNQ,2021-04-14T22:04:15Z,13830.25,13832.75,13830.25,13832.75,41,13831.75,13
MNQ,2021-04-14T22:04:20Z,13832.25,13833,13832.25,13833,13,13832.75,8
MNQ,2021-04-14T22:04:25Z,13832.5,13833,13831.5,13832.5,27,13832.25,18
MNQ,2021-04-14T22:04:30Z,13832,13833,13832,13833,8,13832.525,3
MNQ,2021-04-14T22:04:35Z,13833.25,13834,13831.5,13832.5,61,13832.45,24
MNQ,2021-04-14T22:04:40Z,13832.5,13832.75,13831,13831.25,9,13831.575,8
MNQ,2021-04-14T22:04:45Z,13830.75,13830.75,13830,13830,11,13830.125,8
MNQ,2021-04-14T22:04:50Z,13830.25,13831,13829.75,13830.25,22,13830.5,15
MNQ,2021-04-14T22:04:55Z,13830.25,13830.25,13830.25,13830.25,1,13830.25,1
MNQ,2021-04-14T22:05:00Z,13831,13831.25,13830.25,13830.25,11,13830.825,9
MNQ,2021-04-14T22:05:05Z,13830.5,13831,13830.25,13831,5,13830.65,5
MNQ,2021-04-14T22:05:10Z,13831,13831.25,13830.25,13830.25,7,13830.925,7
MNQ,2021-04-14T22:05:15Z,13830.75,13831,13830.5,13830.5,7,13830.75,7
MNQ,2021-04-14T22:05:20Z,13830.75,13831.25,13830.25,13831.25,9,13830.65,7
MNQ,2021-04-14T22:05:25Z,13831,13831.5,13831,13831.5,15,13831.125,7
MNQ,2021-04-14T22:05:30Z,13831.5,13831.5,13831.25,13831.25,3,13831.325,3
MNQ,2021-04-14T22:05:35Z,13831.75,13832,13831.75,13832,2,13831.875,2
MNQ,2021-04-14T22:05:40Z,13832,13832.25,13831.75,13832.25,5,13831.95,3
MNQ,2021-04-14T22:05:45Z,13832.25,13832.5,13832,13832,8,13832.225,4
MNQ,2021-04-14T22:05:50Z,13832,13832,13832,13832,2,13832,2
MNQ,2021-04-14T22:05:55Z,13832.25,13833,13832.25,13832.75,17,13832.525,8
