Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-03-24T22:00:00Z,12804,12804.75,12792.5,12802.25,103,12801.65,53
MNQ,2021-03-24T22:00:05Z,12802.25,12806.75,12797.75,12806.75,75,12803.475,33
MNQ,2021-03-24T22:00:10Z,12805.75,12810,12805.75,12809.25,62,12807.825,45
MNQ,2021-03-24T22:00:15Z,12808.75,12810,12808,12809.25,56,12809.2,39
MNQ,2021-03-24T22:00:20Z,12808.25,12809.75,12807.75,12808.75,40,12808.7,32
MNQ,2021-03-24T22:00:25Z,12808.5,12810,12807.75,12809,27,12808.95,21
MNQ,2021-03-24T22:00:30Z,12808.5,12809.25,12807.5,12808.5,16,12808.075,12
MNQ,2021-03-24T22:00:35Z,12808.5,12808.5,12807,12807.25,13,12807.55,10
MNQ,2021-03-24T22:00:40Z,12807.75,12808.5,12806.75,12808.25,25,12807.575,17
MNQ,2021-03-24T22:00:45Z,12808,12809,12808,12809,8,12808.625,8
MNQ,2021-03-24T22:00:50Z,12809,12810,12808.25,12810,40,12809.45,17
MNQ,2021-03-24T22:00:55Z,12810,12810.75,12809.75,12810.25,14,12810.25,11
MNQ,2021-03-24T22:01:00Z,12809.5,12811.5,12809,12809.75,61,12809.975,31
MNQ,2021-03-24T22:01:05Z,12809.75,12810.5,12808.75,12809.25,27,12809.675,21
MNQ,2021-03-24T22:01:10Z,12809.25,12810.25,12808.75,12809.75,19,12809.425,9
MNQ,2021-03-24T22:01:15Z,12809,12809,12805,12806.75,76,12806.925,41
MNQ,2021-03-24T22:01:20Z,12809,12810.25,12804.5,12805.75,43,12807.45,30
MNQ,2021-03-24T22:01:25Z,12804.75,12806.25,12804.5,12806.25,23,12805.425,13
MNQ,2021-03-24T22:01:30Z,12806,12806.25,12805.75,12805.75,5,12805.9,5
MNQ,2021-03-24T22:01:35Z,12805.75,12806,12803.25,12804.5,35,12804.45,20
MNQ,2021-03-24T22:01:40Z,12805.25,12805.5,12804.5,12805,7,12805.15,4
MNQ,2021-03-24T22:01:45Z,12804.5,12805.75,12804,12805.75,11,12804.875,8
MNQ,2021-03-24T22:01:50Z,12805.25,12805.5,12805.25,12805.5,3,12805.425,3
MNQ,2021-03-24T22:01:55Z,12805,12805.5,12804.25,12805.25,12,12805.175,7
MNQ,2021-03-24T22:02:00Z,12804.25,12804.75,12803.5,12804,13,12804.1,9
MNQ,2021-03-24T22:02:05Z,12803.25,12803.75,12802.75,12803.25,23,12803.125,9
MNQ,2021-03-24T22:02:10Z,12803.75,12804,12802.75,12802.75,9,12803.65,7
MNQ,2021-03-24T22:02:15Z,12803.5,12804.5,12802.25,12803.5,17,12803.15,14
