Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-04T22:00:00Z,13344,13351,13330.75,13333,315,13337.775,180
MNQ,2021-04-04T22:00:05Z,13333,13338.5,13328,13338.5,145,13332.425,92
MNQ,2021-04-04T22:00:10Z,13336.25,13339.5,13336.25,13337.25,58,13338.225,39
MNQ,2021-04-04T22:00:15Z,13338.75,13338.75,13330.75,13333,76,13333.725,56
MNQ,2021-04-04T22:00:20Z,13330.75,13331,13326.25,13328,60,13328.475,32
MNQ,2021-04-04T22:00:25Z,13326,13327.5,13322.75,13326.75,118,13324.875,62
MNQ,2021-04-04T22:00:30Z,13327.75,13328,13304.25,13318.5,365,13313.7,185
MNQ,2021-04-04T22:00:35Z,13317.75,13323,13317.5,13320.5,62,13320.025,45
MNQ,2021-04-04T22:00:40Z,13320.5,13324.25,13319.25,13324.25,39,13322.125,31
MNQ,2021-04-04T22:00:45Z,13324.25,13324.25,13320.25,13323.5,36,13322.45,27
MNQ,2021-04-04T22:00:50Z,13324,13324.25,13320,13320,29,13322.525,23
MNQ,2021-04-04T22:00:55Z,13320.75,13321.5,13318,13320.75,25,13320.35,19
MNQ,2021-04-04T22:01:00Z,13323.5,13328,13318.5,13321,191,13324.1,137
MNQ,2021-04-04T22:01:05Z,13322,13325,13321.75,13325,46,13323.625,38
MNQ,2021-04-04T22:01:10Z,13325.25,13328.75,13324.25,13328.75,30,13326.025,26
MNQ,2021-04-04T22:01:15Z,13328.75,13330.5,13328.25,13329.5,52,13329.375,32
MNQ,2021-04-04T22:01:20Z,13329.5,13329.5,13319,13323.75,183,13323.5,110
MNQ,2021-04-04T22:01:25Z,13320,13324,13318,13321,74,13320.275,53
MNQ,2021-04-04T22:01:30Z,13321.25,13323.25,13319,13319.75,34,13321,26
MNQ,2021-04-04T22:01:35Z,13320.75,13323.5,13320.5,13322.75,22,13322.375,20
MNQ,2021-04-04T22:01:40Z,13322.75,13326.5,13322.75,13324.25,22,13324.675,18
MNQ,2021-04-04T22:01:45Z,13326.5,13329.25,13326.5,13326.75,30,13328,26
MNQ,2021-04-04T22:01:50Z,13325.75,13329.75,13325.75,13328.25,22,13328.075,21
MNQ,2021-04-04T22:01:55Z,13328.25,13330,13327.25,13328.75,21,13328.5,16
MNQ,2021-04-04T22:02:00Z,13328.5,13330.75,13328.25,13328.75,40,13329.175,30
MNQ,2021-04-04T22:02:05Z,13328.75,13328.75,13323,13323.75,50,13325.675,34
MNQ,2021-04-04T22:02:10Z,13322.25,13324,13321.5,13323,32,13322.8,24
MNQ,2021-04-04T22:02:15Z,13323,13324.5,13322.25,13322.75,41,13323.25,23
MNQ,2021-04-04T22:02:20Z,13322.25,13322.75,13320.75,13321,21,13321.675,17
MNQ,2021-04-04T22:02:25Z,13321.75,13323.25,13320.75,13321.75,7,13321.825,6
MNQ,2021-04-04T22:02:30Z,13322.25,13323.25,13322.25,13322.5,5,13322.6,5
MNQ,2021-04-04T22:02:35Z,13322.5,13323.5,13321.5,13322.75,12,13322.625,11
MNQ,2021-04-04T22:02:40Z,13323.5,13328.75,13323.5,13326.75,44,13325.7,40
MNQ,2021-04-04T22:02:45Z,13326.75,13327.5,13325.5,13327.5,10,13326.95,7
MNQ,2021-04-04T22:02:50Z,13327.5,13328.25,13327.25,13327.5,9,13327.55,7
MNQ,2021-04-04T22:02:55Z,13328.25,13329.25,13324.25,13326.5,28,13326.7,23
MNQ,2021-04-04T22:03:00Z,13329.25,13329.25,13325.75,13326,7,13326.75,5
MNQ,2021-04-04T22:03:05Z,13326.25,13328,13326.25,13326.75,17,13326.9,11
MNQ,2021-04-04T22:03:10Z,13326.5,13326.5,13325.75,13325.75,3,13326.075,3
MNQ,2021-04-04T22:03:15Z,13325.75,13327.75,13325,13327.25,17,13326.25,15
MNQ,2021-04-04T22:03:20Z,13327.25,13329.75,13327.25,13329.75,21,13328.95,14
MNQ,2021-04-04T22:03:25Z,13329.25,13330.75,13329.25,13330.25,31,13330.125,17
MNQ,2021-04-04T22:03:30Z,13329.75,13331,13329.25,13329.75,19,13330.15,16
MNQ,2021-04-04T22:03:35Z,13329.75,13334,13329.75,13333.75,47,13332.375,22
MNQ,2021-04-04T22:03:40Z,13332.75,13334,13332.5,13333.5,17,13333.275,16
MNQ,2021-04-04T22:03:45Z,13332.75,13333.75,13331.75,13332.25,38,13332.625,24
MNQ,2021-04-04T22:03:50Z,13332.25,13333.5,13332.25,13332.75,7,13333,6
MNQ,2021-04-04T22:03:55Z,13333.5,13337.5,13332.75,13332.75,77,13335.6,45
MNQ,2021-04-04T22:04:00Z,13332.5,13335,13332.5,13333.25,18,13333.6,15
MNQ,2021-04-04T22:04:05Z,13333.25,13333.25,13330,13332,50,13331.2,28
MNQ,2021-04-04T22:04:10Z,13331.25,13332,13330.75,13331.25,15,13331.575,10
MNQ,2021-04-04T22:04:15Z,13331.75,13332,13331.75,13332,4,13331.95,3
MNQ,2021-04-04T22:04:20Z,13331.25,13332.75,13331,13332.5,10,13331.65,7
MNQ,2021-04-04T22:04:25Z,13333.25,13341,13333.25,13340.25,98,13338.275,59
MNQ,2021-04-04T22:04:30Z,13340.25,13341,13333,13334.25,64,13337.375,43
MNQ,2021-04-04T22:04:35Z,13333,13337.25,13333,13337.25,17,13336.175,14
MNQ,2021-04-04T22:04:40Z,13338,13338.75,13337.5,13337.75,9,13337.975,7
MNQ,2021-04-04T22:04:45Z,13337.25,13338.25,13337,13338.25,18,13337.725,16
MNQ,2021-04-04T22:04:50Z,13338,13338.75,13337.25,13338,12,13337.975,11
MNQ,2021-04-04T22:04:55Z,13338.75,13339.5,13338.75,13338.75,14,13338.9,6
MNQ,2021-04-04T22:05:00Z,13339.25,13339.5,13338,13338,33,13338.675,18
MNQ,2021-04-04T22:05:05Z,13339,13340,13338.5,13339.25,23,13339.275,20
MNQ,2021-04-04T22:05:10Z,13339.75,13341.75,13339.75,13341,29,13340.775,22
MNQ,2021-04-04T22:05:15Z,13340.75,13340.75,13339.75,13340.25,23,13340.25,13
MNQ,2021-04-04T22:05:20Z,13340.25,13340.25,13335,13335.25,39,13337.125,31
MNQ,2021-04-04T22:05:25Z,13335.25,13339,13335.25,13338.25,9,13337.175,8
MNQ,2021-04-04T22:05:30Z,13337.75,13338.75,13337.5,13338.75,8,13337.9,5
MNQ,2021-04-04T22:05:35Z,13337.75,13338,13336.75,13338,9,13337.475,9
MNQ,2021-04-04T22:05:40Z,13337.75,13338.25,13336.75,13337.25,11,13337.25,10
